SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
ROLO,TQBR,Русолово,0.8166,1000,0.1,A,Т+: Акции и ДР - безадрес.,4,"""Русолово"" ПАО ао",,FNDT,EQIN,,0.0002,0.8234,SUR,2024-07-12,30001000000,RU000A0JU1B0,Rusolovo PAO ao,1-01-15065-A,0.8166,SUR,1,3,2024-07-16
ROSB,TQBR,Росбанк ао,101.0,10,10.0,A,Т+: Акции и ДР - безадрес.,1,РОСБАНК ПАО ао,,FNDT,EQIN,,0.2,101.8,SUR,2024-07-12,1551401853,RU000A0HHK26,ROSBANK,10102272B,101.0,SUR,1,3,2024-07-16
ROSN,TQBR,Роснефть,527.4,1,0.01,A,Т+: Акции и ДР - безадрес.,2,ПАО НК Роснефть,,FNDT,EQIN,,0.05,524.2,SUR,2024-07-12,10598177817,RU000A0J2Q06,Rosneft,1-02-00122-A,523.0,SUR,1,1,2024-07-16
ROST,TQBR,РОСИНТЕРао,152.0,10,169.7,A,Т+: Акции и ДР - безадрес.,1,РОСИНТЕР РЕСТОРАНТС (ПАО),,FNDT,EQIN,,0.2,150.2,SUR,2024-07-12,16305334,RU000A0JP922,ROSINTER RESTAURANTS ao,1-02-55033-E,152.0,SUR,1,3,2024-07-16
RTGZ,TQBR,ГР Ростов,36100.0,1,2000.0,A,Т+: Акции и ДР - безадрес.,0,Газпром газорасп Р-н-Д ПАО ао,,FNDT,EQIN,,100.0,35800.0,SUR,2024-07-12,120246,RU000A0JPG04,Gazprom gazorasp. Rostov ao,1-02-30742-E,36100.0,SUR,1,3,2024-07-16
RTKM,TQBR,Ростел -ао,84.81,10,0.0025,A,Т+: Акции и ДР - безадрес.,2,Ростелеком (ПАО) ао.,,FNDT,EQIN,,0.01,83.6,SUR,2024-07-12,3282997929,RU0008943394,Rostelecom,1-01-00124-A,82.78,SUR,1,1,2024-07-16
RTKMP,TQBR,Ростел -ап,74.3,10,0.0025,A,Т+: Акции и ДР - безадрес.,2,Ростелеком (ПАО) ап.,,FNDT,EQIN,,0.05,73.3,SUR,2024-07-12,209565147,RU0009046700,Rostelecom- (pref),2-01-00124-A,72.6,SUR,2,1,2024-07-16
RTSB,TQBR,ТНСэнРст,3.575,1000,0.02,A,Т+: Акции и ДР - безадрес.,3,ТНС энерго Ростов. ПАО ао,,FNDT,EQIN,,0.005,3.485,SUR,2024-07-12,8128764676,RU000A0D8PB4,TNS energo Rostov-na-Dony ao,1-01-50095-A,3.575,SUR,1,3,2024-07-16
RTSBP,TQBR,ТНСэнРст-п,1.808,1000,0.02,A,Т+: Акции и ДР - безадрес.,3,ТНС энерго Ростов. ПАО ап,,FNDT,EQIN,,0.002,1.82,SUR,2024-07-12,925737256,RU000A0D8PC2,TNS energo Rostov-na-Dony(prf),2-01-50095-A,1.806,SUR,2,3,2024-07-16
RUAL,TQBR,РУСАЛ ао,39.245,10,0.656517,A,Т+: Акции и ДР - безадрес.,3,РУСАЛ ОК МКПАО ао,,FNDT,EQIN,,0.005,39.68,SUR,2024-07-12,15193014862,RU000A1025V3,RUSAL ao,1-01-16677-A,39.35,SUR,1,1,2024-07-16
RUSI,TQBR,ИКРУСС-ИНВ,88.2,10,1.0,A,Т+: Акции и ДР - безадрес.,1,РУСС-ИНВЕСТ ИК ПАО ао,,FNDT,EQIN,,0.1,88.1,SUR,2024-07-12,109000000,RU000A0JQ9W5,RUSS-INVEST IC ao,1-01-00409-A,88.2,SUR,1,3,2024-07-16
RZSB,TQBR,РязЭнСб,35.0,100,0.05,A,Т+: Акции и ДР - безадрес.,2,"""Рязанская энергосб.комп"" ПАО",,FNDT,EQIN,,0.02,34.82,SUR,2024-07-12,206940220,RU000A0D9AF5,"JSC ""Ryazanenergosbyt""",1-01-50092-A,35.0,SUR,1,3,2024-07-16
SAGO,TQBR,СамарЭн-ао,3.2,1000,0.25,A,Т+: Акции и ДР - безадрес.,3,Самараэнерго (ПАО) - ао,,FNDT,EQIN,,0.005,3.305,SUR,2024-07-12,3538928532,RU0009098255,SamaraEnergo ao,1-02-00127-A,3.19,SUR,1,3,2024-07-16
SAGOP,TQBR,СамарЭн-ап,3.1,1000,0.01,A,Т+: Акции и ДР - безадрес.,3,Самараэнерго (ПАО) - ап,,FNDT,EQIN,,0.005,3.19,SUR,2024-07-12,521993080,RU0009084495,SamaraEnergo(pref),2-02-00127-A,3.1,SUR,2,3,2024-07-16
SARE,TQBR,СаратЭн-ао,0.58,10000,0.02,A,Т+: Акции и ДР - безадрес.,3,Саратовэнерго(ПАО)-ао,,FNDT,EQIN,,0.001,0.583,SUR,2024-07-12,4865127996,RU0009100754,SaratovEnergo ao,1-02-00132-A,0.577,SUR,1,3,2024-07-16
SAREP,TQBR,СаратЭн-ап,0.2965,10000,0.02113,A,Т+: Акции и ДР - безадрес.,4,Саратовэнерго(ПАО)-ап,,FNDT,EQIN,,0.0005,0.298,SUR,2024-07-12,1493316000,RU0009100762,SaratovEnergo (pref),2-02-00132-A,0.2965,SUR,2,3,2024-07-16
SBER,TQBR,Сбербанк,292.21,10,3.0,A,Т+: Акции и ДР - безадрес.,2,Сбербанк России ПАО ао,,FNDT,EQIN,,0.01,293.36,SUR,2024-07-12,21586948000,RU0009029540,Sberbank,10301481B,292.35,SUR,1,1,2024-07-16
SBERP,TQBR,Сбербанк-п,292.22,10,3.0,A,Т+: Акции и ДР - безадрес.,2,Сбербанк России ПАО ап,,FNDT,EQIN,,0.01,293.33,SUR,2024-07-12,1000000000,RU0009029557,Sberbank (pref),20301481B,291.93,SUR,2,1,2024-07-16
SELG,TQBR,Селигдар,54.37,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Селигдар""  ао",,FNDT,EQIN,,0.01,54.58,SUR,2024-07-12,1030000000,RU000A0JPR50,Seligdar,1-01-32694-F,54.08,SUR,1,1,2024-07-16
SFIN,TQBR,ЭсЭфАй ао,1339.8,1,0.67,A,Т+: Акции и ДР - безадрес.,1,ЭсЭфАй ПАО ао,,FNDT,EQIN,,0.2,1317.4,SUR,2024-07-12,111637791,RU000A0JVW89,SFI ao,1-02-56453-P,1339.8,SUR,1,1,2024-07-16
SGZH,TQBR,Сегежа,2.544,100,0.1,A,Т+: Акции и ДР - безадрес.,3,Сегежа ао,,FNDT,EQIN,,0.001,2.518,SUR,2024-07-12,15690000000,RU000A102XG9,Segezha,1-01-87154-H,2.5,SUR,1,1,2024-07-16
SIBN,TQBR,Газпрнефть,655.3,1,0.0016,A,Т+: Акции и ДР - безадрес.,2,Газпром нефть ПАО ао,,FNDT,EQIN,,0.05,658.2,SUR,2024-07-12,4741299639,RU0009062467,Gazprom neft,1-01-00146-A,656.0,SUR,1,3,2024-07-16
SLEN,TQBR,Сахэнер ао,4.12,100,10.0,A,Т+: Акции и ДР - безадрес.,3,"ПАО ""Сахалинэнерго"" ао",,FNDT,EQIN,,0.005,4.14,SUR,2024-07-12,1237175444,RU0009280465,Sakhalinenergo ao,1-03-00272-A,4.12,SUR,1,3,2024-07-16
SMLT,TQBR,Самолет ао,2867.0,1,25.0,A,Т+: Акции и ДР - безадрес.,1,ГК Самолет ао,,FNDT,EQIN,,0.5,2860.5,SUR,2024-07-12,61579358,RU000A0ZZG02,Samolet,1-01-16493-A,2856.0,SUR,1,1,2024-07-16
SNGS,TQBR,Сургнфгз,28.17,100,1.0,A,Т+: Акции и ДР - безадрес.,3,Сургутнефтегаз ПАО акции об.,,FNDT,EQIN,,0.005,28.105,SUR,2024-07-12,35725994705,RU0008926258,Surgut,1-01-00155-A,27.91,SUR,1,2,2024-07-16
SNGSP,TQBR,Сургнфгз-п,63.575,100,1.0,A,Т+: Акции и ДР - безадрес.,3,Сургутнефтегаз ПАО ап,,FNDT,EQIN,,0.005,63.615,SUR,2024-07-12,7701998235,RU0009029524,Surgut-pref,2-01-00155-A,63.37,SUR,2,2,2024-07-16
SOFL,TQBR,iСофтлайн,139.74,10,0.001499992500037,A,Т+: Акции и ДР - безадрес.,2,Софтлайн ао,,FNDT,EQIN,,0.02,139.08,SUR,2024-07-12,324000000,RU000A0ZZBC2,Softline,1-01-45848-H,138.6,SUR,1,2,2024-07-16
SPBE,TQBR,СПБ Биржа,122.8,1,3.75,A,Т+: Акции и ДР - безадрес.,1,СПБ Биржа ао,,FNDT,EQIN,,0.1,123.8,SUR,2024-07-12,132843907,RU000A0JQ9P9,SPB Exchange,1-01-55439-E,122.6,SUR,1,3,2024-07-16
STSB,TQBR,СтаврЭнСб,2.755,1000,0.0048,A,Т+: Акции и ДР - безадрес.,3,Ставрополэнергосбыт ПАО ао,,FNDT,EQIN,,0.005,2.765,SUR,2024-07-12,859074636,RU000A0ET1W4,StavropolEnergoSbyt,1-01-50119-A,2.755,SUR,1,3,2024-07-16
STSBP,TQBR,СтаврЭнСбп,2.77,1000,0.0048,A,Т+: Акции и ДР - безадрес.,3,Ставрополэнергосбыт ПАО ап,,FNDT,EQIN,,0.002,2.792,SUR,2024-07-12,262100364,RU000A0ET1Z7,StavropolEnergoSbyt (pref),2-01-50119-A,2.77,SUR,2,3,2024-07-16
SVAV,TQBR,СОЛЛЕРС,765.5,1,12.5,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""СОЛЛЕРС""",,FNDT,EQIN,,0.5,772.5,SUR,2024-07-12,31486001,RU0006914488,Sollers Avto,1-01-02461-D,771.0,SUR,1,2,2024-07-16
SVCB,TQBR,Совкомбанк,14.39,100,0.1,A,Т+: Акции и ДР - безадрес.,3,Совкомбанк ао,,FNDT,EQIN,,0.005,14.41,SUR,2024-07-12,20693945875,RU000A0ZZAC4,Sovcombank,10100963B,14.25,SUR,1,1,2024-07-16
SVET,TQBR,Светофор,21.95,1,1.0,A,Т+: Акции и ДР - безадрес.,2,Светофор Групп ао,,FNDT,EQIN,,0.05,21.9,SUR,2024-07-12,22333500,RU000A100592,Svetofor Group,1-01-24350-J,21.95,SUR,1,3,2024-07-16
SVETP,TQBR,Светофор п,49.65,1,1.0,A,Т+: Акции и ДР - безадрес.,2,Светофор Групп ап,,FNDT,EQIN,,0.05,49.75,SUR,2024-07-12,2481500,RU000A1005A9,Svetofor Group ps,2-01-24350-J,49.65,SUR,2,3,2024-07-16
TASB,TQBR,ТамбЭнСб,1.964,1000,0.02,A,Т+: Акции и ДР - безадрес.,3,"ао""Тамбов.энергсбыт.комп.""ПАО",,FNDT,EQIN,,0.002,1.938,SUR,2024-07-12,1525986880,RU000A0D8NG8,Tambov EnergoSbyt Company,1-01-65100-D,1.96,SUR,1,3,2024-07-16
TASBP,TQBR,ТамбЭнСб-п,1.008,10000,0.02,A,Т+: Акции и ДР - безадрес.,3,"ап""Тамбов.энергсбыт.комп.""ПАО",,FNDT,EQIN,,0.002,1.018,SUR,2024-07-12,217961420,RU000A0D8NH6,Tambov EnergoSbyt Comp. (pref),2-01-65100-D,1.008,SUR,2,3,2024-07-16
TATN,TQBR,Татнфт 3ао,653.9,1,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Татнефть"" ао",,FNDT,EQIN,,0.1,653.2,SUR,2024-07-12,2178690700,RU0009033591,Tatneft-3,1-03-00161-A,652.0,SUR,1,1,2024-07-16
TATNP,TQBR,Татнфт 3ап,639.7,1,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Татнефть"" ап 3 вып.",,FNDT,EQIN,,0.1,637.2,SUR,2024-07-12,147508500,RU0006944147,Tatneft (pref),2-03-00161-A,638.0,SUR,2,1,2024-07-16
TCSG,TQBR,ТКСХолд ао,2692.5,1,3.639384,A,Т+: Акции и ДР - безадрес.,1,ТКС Холдинг МКПАО ао,,FNDT,EQIN,,0.5,2710.5,SUR,2024-07-12,199305492,RU000A107UL4,IPJSC TCS Holding,1-01-16784-A,2696.0,SUR,1,1,2024-07-16
TGKA,TQBR,ТГК-1,0.00746,100000,0.01,A,Т+: Акции и ДР - безадрес.,6,"ао ПАО ""ТГК-1""",,FNDT,EQIN,,2e-06,0.007556,SUR,2024-07-12,3854341416571,RU000A0JNUD0,TGK-1,1-01-03388-D,0.007486,SUR,1,1,2024-07-16
TGKB,TQBR,ТГК-2,0.01008,1000000,0.01,A,Т+: Акции и ДР - безадрес.,6,"ао ПАО ""ТГК-2""",,FNDT,EQIN,,5e-06,0.010315,SUR,2024-07-12,1458404850747,RU000A0JNGS7,TGK-2,1-01-10420-A,0.01008,SUR,1,3,2024-07-16
TGKBP,TQBR,ТГК-2 ап,0.01633,100000,0.01,A,Т+: Акции и ДР - безадрес.,5,"ап ПАО ""ТГК-2""",,FNDT,EQIN,,1e-05,0.01648,SUR,2024-07-12,16500533681,RU000A0JNGT5,TGK-2 pref,2-01-10420-A,0.0163,SUR,2,3,2024-07-16
TGKN,TQBR,ТГК-14,0.00985,100000,0.001,A,Т+: Акции и ДР - безадрес.,5,"ао ПАО ""ТГК-14""",,FNDT,EQIN,,1e-05,0.01006,SUR,2024-07-12,1357945609114,RU000A0H1ES3,TGK-14,1-01-22451-F,0.00985,SUR,1,2,2024-07-16
TNSE,TQBR,ТНСэнрг ао,2790.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,"ПАО ГК ""ТНС энерго"" ао",,FNDT,EQIN,,5.0,2810.0,SUR,2024-07-12,13668239,RU000A0JUCQ5,"PAO GK ""TNS energo"" ao",1-01-15521-A,2790.0,SUR,1,3,2024-07-16
TORS,TQBR,ТРК ао,0.786,10000,0.4916,A,Т+: Акции и ДР - безадрес.,3,"ао ""Томская распределит.комп.""",,FNDT,EQIN,,0.002,0.792,SUR,2024-07-12,3819315580,RU000A0ETZF2,Tomsk raspredelit. komp ao,1-01-50128-A,0.786,SUR,1,3,2024-07-16
TORSP,TQBR,ТРК ап,0.465,10000,0.4916,A,Т+: Акции и ДР - безадрес.,3,"ап ""Томская распределит.комп.""",,FNDT,EQIN,,0.001,0.462,SUR,2024-07-12,576693000,RU000A0ETZM8,Tomsk raspredelit. komp ap,2-01-50128-A,0.465,SUR,2,3,2024-07-16
TRMK,TQBR,ТМК ао,172.36,10,10.0,A,Т+: Акции и ДР - безадрес.,2,ПАО ТМК,,FNDT,EQIN,,0.02,170.48,SUR,2024-07-12,1033135366,RU000A0B6NK6,TMK ao,1-01-29031-H,170.06,SUR,1,2,2024-07-16
TRNFP,TQBR,Транснф ап,1463.0,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Транснефть ПАО акц.пр.,,FNDT,EQIN,,0.5,1459.5,SUR,2024-07-12,155487500,RU0009091573,Transneft (pref),2-01-00206-A,1450.0,SUR,2,1,2024-07-16
TTLK,TQBR,Таттел. ао,0.7835,1000,0.1,A,Т+: Акции и ДР - безадрес.,4,"""Таттелеком"" ПАО ао",,FNDT,EQIN,,0.0005,0.794,SUR,2024-07-12,20843976400,RU000A0HM5C1,Tattelekom,1-02-50049-A,0.7835,SUR,1,3,2024-07-16
TUZA,TQBR,ТЗА ао,229.5,10,10.0,A,Т+: Акции и ДР - безадрес.,1,Туймаз. завод автобетоновозов,,FNDT,EQIN,,0.5,232.5,SUR,2024-07-12,8220000,RU000A0HL7A2,Tuimaz. Zavod Avtobetonovozov,1-01-30455-D,229.5,SUR,1,3,2024-07-16
UGLD,TQBR,ЮГК,0.826,1000,0.001,A,Т+: Акции и ДР - безадрес.,4,ЮГК,,FNDT,EQIN,,0.0001,0.8349,SUR,2024-07-12,212827273000,RU000A0JPP37,UGC,1-02-33010-D,0.826,SUR,1,2,2024-07-16
UKUZ,TQBR,ЮжКузб. ао,1304.0,1,0.04,A,Т+: Акции и ДР - безадрес.,0,Южный Кузбасс ПАО ао,,FNDT,EQIN,,2.0,1306.0,SUR,2024-07-12,36149002,RU0005294775,Uzhnyi Kuzbass,1-02-10591-F,1304.0,SUR,1,3,2024-07-16
UNAC,TQBR,iАвиастКао,0.703,1000,0.27,A,Т+: Акции и ДР - безадрес.,4,Об.авиастр.корп. ПАО ао,,FNDT,EQIN,,0.0005,0.717,SUR,2024-07-12,532939780119,RU000A0JPLZ7,Ob.aviastroitelnaya korp.,1-02-55306-E,0.6955,SUR,1,3,2024-07-16
UNKL,TQBR,ЮУНК ао,5220.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Южно-Уральский никел. комб. ао,,FNDT,EQIN,,10.0,5230.0,SUR,2024-07-12,599737,RU0004887991,Uzhno-Uralskiy nikel. komb. ao,1-01-00197-A,5220.0,SUR,1,3,2024-07-16
UPRO,TQBR,Юнипро ао,1.754,1000,0.4,A,Т+: Акции и ДР - безадрес.,3,Юнипро ПАО ао,,FNDT,EQIN,,0.001,1.77,SUR,2024-07-12,63048706145,RU000A0JNGA5,Unipro PAO ao,1-02-65104-D,1.755,SUR,1,1,2024-07-16
URKZ,TQBR,УрКузница,26200.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,"ПАО ""Уральская кузница"" ао",,FNDT,EQIN,,50.0,26350.0,SUR,2024-07-12,547761,RU000A0JPFY2,Uralskaya kuznica ao,1-01-32341-D,26200.0,SUR,1,3,2024-07-16
USBN,TQBR,УралСиб ао,0.179,10000,0.1,A,Т+: Акции и ДР - безадрес.,4,БАНК УРАЛСИБ ПАО ао,,FNDT,EQIN,,0.0001,0.1791,SUR,2024-07-12,360134697357,RU0006929536,BANK URALSIB ao,10200030B,0.179,SUR,1,3,2024-07-16
UTAR,TQBR,ЮТэйр ао,15.48,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"Авиакомпания ""ЮТэйр"" (ПАО) ао",,FNDT,EQIN,,0.01,15.39,SUR,2024-07-12,7896123268,RU0007661385,UTAir Aviacompany,1-01-00077-F,15.53,SUR,1,3,2024-07-16
VEON-RX,TQBR,VEON,31.4,10,0.001,A,Т+: Акции и ДР - безадрес.,2,VEON Ltd. ORD SHS,,FNDT,EQIN,,0.05,31.6,USD,2024-07-12,1749127404,BMG9349W1038,VEON Ltd. ORD SHS,,31.4,SUR,1,3,2024-07-16
VGSB,TQBR,ВолгЭнСб,15.24,1000,0.12,A,Т+: Акции и ДР - безадрес.,2,"""Волгоград.энергосбыткомп"" ПАО",,FNDT,EQIN,,0.02,15.32,SUR,2024-07-12,319595965,RU000A0D8L73,Volgograd Energo Sbyt,1-01-65103-D,15.24,SUR,1,3,2024-07-16
VGSBP,TQBR,ВолгЭнСб-п,9.04,1000,0.12,A,Т+: Акции и ДР - безадрес.,2,"""Волгоград.энергосбыткомп"" ПАО",,FNDT,EQIN,,0.02,9.06,SUR,2024-07-12,80499134,RU000A0D8L57,Volgograd Energo Sbyt (pref),2-01-65103-D,9.04,SUR,2,3,2024-07-16
VJGZ,TQBR,Варьеган,2710.0,1,0.1,A,Т+: Акции и ДР - безадрес.,0,ННК-Варьеганнефтегаз ПАО ао,,FNDT,EQIN,,2.0,2652.0,SUR,2024-07-12,18091110,RU0009046460,Var'eganneftegaz ao,1-01-00017-A,2710.0,SUR,1,3,2024-07-16
VJGZP,TQBR,Варьеган-п,1944.0,1,0.1,A,Т+: Акции и ДР - безадрес.,0,ННК-Варьеганнефтегаз ПАО ап,,FNDT,EQIN,,1.0,1902.0,SUR,2024-07-12,5883050,RU0007964789,Var'eganneftegaz ap,2-01-00017-A,1944.0,SUR,2,3,2024-07-16
VKCO,TQBR,"МКПАО ""ВК""",454.4,1,0.000450595,A,Т+: Акции и ДР - безадрес.,1,Международная компания ПАО ВК,,FNDT,EQIN,,0.2,456.6,SUR,2024-07-12,227874940,RU000A106YF0,VK International Public JS Com,1-01-16753-A,455.2,SUR,1,1,2024-07-16
VLHZ,TQBR,ВХЗ-ао,214.4,10,20.0,A,Т+: Акции и ДР - безадрес.,1,Владимирский химич.з-д(ПАО) ао,,FNDT,EQIN,,0.2,217.2,SUR,2024-07-12,5005605,RU0007984761,VHZ,1-02-04847-A,214.4,SUR,1,3,2024-07-16
VRSB,TQBR,ТНСэнВорон,473.0,10,0.4,A,Т+: Акции и ДР - безадрес.,1,ТНС энерго Воронеж ПАО ао,,FNDT,EQIN,,0.5,482.0,SUR,2024-07-12,56151024,RU000A0DPG67,TNS energo Voroneg ao,1-01-55029-E,473.0,SUR,1,3,2024-07-16
VRSBP,TQBR,ТНСэнВор-п,153.4,10,0.4,A,Т+: Акции и ДР - безадрес.,1,ТНС энерго Воронеж ПАО ап,,FNDT,EQIN,,0.2,155.6,SUR,2024-07-12,18716678,RU000A0DPG75,TNS energo Voroneg ap,2-01-55029-E,153.4,SUR,2,3,2024-07-16
VSEH,TQBR,ВИ.ру,198.0,1,0.01,A,Т+: Акции и ДР - безадрес.,2,ВИ.ру,,FNDT,EQIN,,0.05,193.05,SUR,2024-07-12,500000000,RU000A108K09,VI.ru,1-01-06636-G,198.0,SUR,1,1,2024-07-16
VSMO,TQBR,ВСМПО-АВСМ,30000.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Корп. ВСМПО-АВИСМА (ПАО) ао,,FNDT,EQIN,,20.0,30060.0,SUR,2024-07-12,11529538,RU0009100291,Corp. VSMPO-AVISMA ao,1-01-30202-D,30100.0,SUR,1,2,2024-07-16
VSYD,TQBR,ВыбСудЗ ао,15750.0,1,0.5,A,Т+: Акции и ДР - безадрес.,0,Выборгский Суд.Завод ПАО ао,,FNDT,EQIN,,50.0,15750.0,SUR,2024-07-12,1891250,RU0006334372,Viborgskii sudostr. Zavod ao,1-01-02203-D,15750.0,SUR,1,3,2024-07-16
VSYDP,TQBR,ВыбСудЗ ап,10480.0,1,0.5,A,Т+: Акции и ДР - безадрес.,0,Выборгский Суд.Завод ПАО ап,,FNDT,EQIN,,20.0,10480.0,SUR,2024-07-12,51839,RU0006334380,Viborgskii sudostr. Zavod ap,2-01-02203-D,10480.0,SUR,2,3,2024-07-16
VTBR,TQBR,ВТБ ао,99.65,1,50.0,A,Т+: Акции и ДР - безадрес.,2,ао ПАО Банк ВТБ,,FNDT,EQIN,,0.01,99.65,SUR,2024-07-12,5369933893,RU000A0JP5V6,VTB,10401000B,99.6,SUR,1,1,2024-07-16
WTCM,TQBR,ЦМТ ао,15.64,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Центр междун. торговли""ПАО ао",,FNDT,EQIN,,0.02,15.68,SUR,2024-07-12,1083000000,RU0008137070,CMT,1-01-01837-A,15.64,SUR,1,3,2024-07-16
WTCMP,TQBR,ЦМТ ап,10.06,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Центр междун. торговли""ПАО ап",,FNDT,EQIN,,0.02,10.08,SUR,2024-07-12,162000000,RU0008137088,CMT (pref),2-01-01837-A,10.06,SUR,2,3,2024-07-16
WUSH,TQBR,iВУШХолднг,274.2,1,0.01,A,Т+: Акции и ДР - безадрес.,2,ВУШ Холдинг ао,,FNDT,EQIN,,0.01,274.57,SUR,2024-07-12,111382432,RU000A105EX7,WHOOSH Holding,1-01-03292-G,274.88,SUR,1,2,2024-07-16
YAKG,TQBR,ЯТЭК ао,77.15,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Якутская топл.-энерг. комп. ао,,FNDT,EQIN,,0.05,77.45,SUR,2024-07-12,826919375,RU0007796819,YaTEK ao,1-01-20510-F,76.85,SUR,1,3,2024-07-16
YDEX,TQBR,ЯНДЕКС,,1,0.4,A,Т+: Акции и ДР - безадрес.,1,МКПАО ЯНДЕКС,,FNDT,EQIN,,0.5,,SUR,2024-07-12,379453795,RU000A107T19,YANDEX,1-01-16777-A,,SUR,1,1,2024-07-16
YKEN,TQBR,Якутскэнрг,0.549,10000,2.22,A,Т+: Акции и ДР - безадрес.,3,"АК ""Якутскэнерго"" (ПАО) ао",,FNDT,EQIN,,0.001,0.553,SUR,2024-07-12,10187741424,RU0009257075,YakutskEnergo,1-01-00304-A,0.549,SUR,1,3,2024-07-16
YKENP,TQBR,Якутскэн-п,0.455,10000,2.22,A,Т+: Акции и ДР - безадрес.,3,"АК ""Якутскэнерго"" (ПАО) ап",,FNDT,EQIN,,0.001,0.465,SUR,2024-07-12,1332635125,RU0007796827,YakutskEnergo ap,2-01-00304-A,0.455,SUR,2,3,2024-07-16
YRSB,TQBR,ТНСэнЯр,810.0,10,1.0,A,Т+: Акции и ДР - безадрес.,0,ТНС энерго Ярославль ПАО ао,,FNDT,EQIN,,2.0,828.0,SUR,2024-07-12,17143584,RU000A0D8760,TNS energo Yaroslavl' ao,1-01-50099-A,810.0,SUR,1,3,2024-07-16
YRSBP,TQBR,ТНСэнЯр-п,216.5,10,1.0,A,Т+: Акции и ДР - безадрес.,1,ТНС энерго Ярославль ПАО ап,,FNDT,EQIN,,0.5,217.5,SUR,2024-07-12,4507320,RU000A0D88B3,TNS energo Yaroslavl' (pref),2-01-50099-A,217.0,SUR,2,3,2024-07-16
ZAYM,TQBR,Займер ао,177.35,10,0.1,A,Т+: Акции и ДР - безадрес.,2,Займер ао,,FNDT,EQIN,,0.05,179.05,SUR,2024-07-12,100000000,RU000A107RM8,Zaymer,1-01-16767-A,177.3,SUR,1,3,2024-07-16
ZILL,TQBR,ЗИЛ ао,3265.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,Завод им. И.А.Лихачева ПАО ао,,FNDT,EQIN,,5.0,3290.0,SUR,2024-07-12,2659962,RU0009086193,ZIL ao,1-02-00036-A,3265.0,SUR,1,3,2024-07-16
ZVEZ,TQBR,ЗВЕЗДА ао,8.24,1000,0.1,A,Т+: Акции и ДР - безадрес.,2,ЗВЕЗДА ПАО ао,,FNDT,EQIN,,0.01,8.29,SUR,2024-07-12,562020480,RU0009091300,Zvezda ao,1-01-00169-D,8.24,SUR,1,3,2024-07-16
